Descriptor_Name,R2_Score
Original,0.816708
ExactMolWt,0.898864
MolWt,0.932996
MolLogP,0.879854
MolMR,0.937017
TPSA,0.863744
NumRotatableBonds,0.855346
HeavyAtomCount,0.923922
NumHAcceptors,0.830003
NumHDonors,0.807841
NumHeteroatoms,0.827366
NHOHCount,0.824711
NOCount,0.793082
RingCount,0.778066
NumAromaticRings,0.793514
NumSaturatedRings,0.795967
NumAliphaticRings,0.726789
CalcLabuteASA,0.928775
NumValenceElectrons,0.898152
BalabanJ,0.80721
BertzCT,0.827938
Ipc,0.90779
Kappa1,0.898058
Kappa2,0.856171
Kappa3,0.672364
Kappa_all_sum,0.886515
Kappa_all_ind,0.906555
Chi0,0.917675
Chi0n,0.882343
Chi0v,0.906464
Chi1,0.826332
Chi1n,0.85398
Chi1v,0.840791
Chi2n,0.822804
Chi2v,0.85692
Chi3n,0.824315
Chi3v,0.796696
Chi4n,0.862366
Chi4v,0.840865
ChiN_,0.891644
ChiNv_,0.913525
Chi_ALL_sum,0.939217
Chi_ALL_ind,0.941884
CalcPhi,0.832363
HallKierAlpha,0.850049
CalcNumAmideBonds,0.829618
FractionCSP3,0.831651
CalcNumSpiroAtoms,0.840247
CalcNumBridgeheadAtoms,0.796767
PEOE_VSA1,0.828022
PEOE_VSA2,0.778468
PEOE_VSA3,0.799766
PEOE_VSA4,0.807849
PEOE_VSA5,0.801786
PEOE_VSA6,0.87291
PEOE_VSA7,0.851473
PEOE_VSA8,0.796819
PEOE_VSA9,0.77555
PEOE_VSA10,0.805613
PEOE_VSA11,0.789343
PEOE_VSA12,0.79052
PEOE_VSA13,0.83249
PEOE_VSA14,0.784888
PEOE_VSA_ALL_sum,0.949039
PEOE_VSA_ALL_ind,0.942304
SMR_VSA1,0.753329
SMR_VSA2,0.817541
SMR_VSA3,0.853999
SMR_VSA4,0.795527
SMR_VSA5,0.864949
SMR_VSA6,0.78565
SMR_VSA7,0.851086
SMR_VSA8,0.81614
SMR_VSA9,0.826682
SMR_VSA10,0.847455
SMR_VSA_ALL_SUM,0.945677
SMR_VSA_ALL_IND,0.939259
SlogP_VSA1,0.801072
SlogP_VSA2,0.805473
SlogP_VSA3,0.815573
SlogP_VSA4,0.832962
SlogP_VSA5,0.885353
SlogP_VSA6,0.864294
SlogP_VSA7,0.792926
SlogP_VSA8,0.822678
SlogP_VSA9,0.824013
SlogP_VSA10,0.831146
SlogP_VSA11,0.777196
SlogP_VSA12,0.850173
SlogP_VSA_ALL_sum,0.937349
SlogP_VSA_ALL_ind,0.933737
EState_VSA_EState1,0.804317
EState_VSA_EState2,0.808477
EState_VSA_EState3,0.843765
EState_VSA_EState4,0.802905
EState_VSA_EState5,0.832963
EState_VSA_EState6,0.797598
EState_VSA_EState7,0.823747
EState_VSA_EState8,0.778032
EState_VSA_EState9,0.817314
EState_VSA_EState10,0.884367
VSA_EState_ALL_sum,0.902937
VSA_EState_ALL_ind,0.920697
Asphericity,0.801195
PBF,0.832065
PMI1,0.863199
PMI2,0.832049
PMI3,0.844263
PMI_ALL_sum,0.859989
PMI_ALL_ind,0.857781
NPR1,0.820205
NPR2,0.806362
NPR_ALL_sum,0.841666
NPR_ALL_ind,0.810677
RadiusOfGyration,0.868447
InertialShapeFactor,0.537943
Eccentricity,0.74273
SpherocityIndex,0.769344
MQNs,0.931768
AUTOCORR2D,0.884624
AUTOCORR3D,0.817891
RDF,0.841609
BCUT2D,0.858356
MORSE,0.816132
WHIM,0.844736
GETAWAY,0.822919
